matchId,season,date,round,phase,home,away,venue,vbucket,predMargin,absPred,closeBand,weTipped,actualMargin,absActual,draw,miss,class,fieldN,fieldShareCorrect,fieldHomeShare,fieldFav,weAgainstField,ourProbWinner,fieldProbWinner,restHome,restAway,restDiff,postByeHome,postByeAway,weather,wet,gameid
10978,2026,2026-03-06,Opening Round,early,Gold Coast,Geelong,Carrara,true_home_interstate,-1.85,1.85,<6,away,56,56,False,True,consensus,28,0.321,0.321,away,False,0.472,0.474,,,,False,False,,,38495
10979,2026,2026-03-07,Opening Round,early,GWS Giants,Hawthorn,Sydney Showground,true_home_interstate,-7.61,7.61,6-12,away,27,27,False,True,consensus,28,0.214,0.214,away,False,0.391,0.453,,,,False,False,,,38496
10980,2026,2026-03-07,Opening Round,early,Brisbane Lions,Western Bulldogs,Gabba,true_home_interstate,13.33,13.33,12-24,home,-5,5,False,True,consensus,28,0.071,0.929,home,False,0.322,0.365,,,,False,False,,,38497
20317,2026,2026-03-14,Round 1,early,Collingwood,Adelaide,MCG,shared_interstate,11.6,11.6,6-12,home,-14,14,False,True,consensus,28,0.036,0.964,home,False,0.342,0.393,6,,,False,False,,,38504
20319,2026,2026-03-15,Round 1,early,Melbourne,St Kilda,MCG,shared_derby,-2.15,2.15,<6,away,13,13,False,True,tipper_specific,28,0.679,0.679,home,True,0.467,0.535,,7,,False,False,,,38506
42389,2026,2026-03-21,Round 2,early,GWS Giants,St Kilda,Sydney Showground,true_home_interstate,13.24,13.24,12-24,home,-4,4,False,True,consensus,28,0.071,0.929,home,False,0.323,0.341,7,6,1,False,False,,,38511
42392,2026,2026-03-22,Round 2,early,West Coast,North Melbourne,Perth Stadium,true_home_interstate,-19.76,19.76,12-24,away,17,17,False,True,consensus,28,0.071,0.071,away,False,0.254,0.409,7,7,0,False,False,,,38514
42398,2026,2026-03-29,Round 3,early,Port Adelaide,West Coast,Adelaide Oval,true_home_interstate,23.22,23.22,12-24,home,-2,2,False,True,consensus,28,0.036,0.964,home,False,0.223,0.26,7,7,0,False,False,,,38520
42399,2026,2026-03-29,Round 3,early,Carlton,Melbourne,MCG,shared_derby,3.07,3.07,<6,home,-23,23,False,True,grey,28,0.643,0.357,away,True,0.454,0.519,17,8,9,True,False,,,38521
43385,2026,2026-04-05,Round 4,early,Melbourne,Gold Coast,MCG,shared_interstate,-12.96,12.96,12-24,away,20,20,False,True,consensus,28,0.071,0.071,away,False,0.326,0.386,7,15,-8,False,True,,,38527
